way_point_1	way_point_2	distance_meters	duration_minutes
Amirkabir University of Technology (Polytechnic), Rasht Street, Tehran, Tehran Province	K. N. Toosi University of Technology, Mirdamad Boulevard, Tehran, Tehran Province	9593	21.633333333333333
Amirkabir University of Technology (Polytechnic), Rasht Street, Tehran, Tehran Province	Allameh Tabataba’i University, Tehran, Tehran Province	19606	30.55
Amirkabir University of Technology (Polytechnic), Rasht Street, Tehran, Tehran Province	imam hossein university	27692	35.31666666666667
Amirkabir University of Technology (Polytechnic), Rasht Street, Tehran, Tehran Province	Imam Sadiq University, Tehran, Tehran Province	11957	25.65
Amirkabir University of Technology (Polytechnic), Rasht Street, Tehran, Tehran Province	Iran University of Medical Sciences	9264	19.3
Amirkabir University of Technology (Polytechnic), Rasht Street, Tehran, Tehran Province	Malek Ashtar University of Technology, Shabanlou, Tehran, Tehran Province	15657	23.533333333333335
Amirkabir University of Technology (Polytechnic), Rasht Street, Tehran, Tehran Province	Tarbiat Modares University, Tehran, Tehran Province	5227	14.4
Shahed University, Tehran, Tehran Province	Amirkabir University of Technology (Polytechnic), Rasht Street, Tehran, Tehran Province	455	1.6333333333333333
Amirkabir University of Technology (Polytechnic), Rasht Street, Tehran, Tehran Province	Kharazmi University, Tehran, Tehran Province	2877	8.65
Amirkabir University of Technology (Polytechnic), Rasht Street, Tehran, Tehran Province	Alzahra University	10980	24.133333333333333
Amirkabir University of Technology (Polytechnic), Rasht Street, Tehran, Tehran Province	Imam Ali University, Emam Khomeyni Street, Tehran, Tehran Province	4514	12.2
Amirkabir University of Technology (Polytechnic), Rasht Street, Tehran, Tehran Province	Institute for management and planning studies, Shafei, Tehran, Tehran Province	17821	35.666666666666664
Institute for Studies in Theoretical Physics and Mathematics	Amirkabir University of Technology (Polytechnic), Rasht Street, Tehran, Tehran Province	18850	33.13333333333333
Amirkabir University of Technology (Polytechnic), Rasht Street, Tehran, Tehran Province	Iran Polymer and Petrochemical Institute	28122	34.0
Amirkabir University of Technology (Polytechnic), Rasht Street, Tehran, Tehran Province	Police University Amin	22188	32.18333333333333
shahid rajaee teacher training university	Amirkabir University of Technology (Polytechnic), Rasht Street, Tehran, Tehran Province	14920	23.983333333333334
K. N. Toosi University of Technology, Mirdamad Boulevard, Tehran, Tehran Province	Iran University of Science and Technology	12725	22.9
Allameh Tabataba’i University, Tehran, Tehran Province	Iran University of Science and Technology	25626	32.71666666666667
imam hossein university	Iran University of Science and Technology	15221	21.316666666666666
Imam Sadiq University, Tehran, Tehran Province	Iran University of Science and Technology	17357	28.916666666666668
Iran University of Medical Sciences	Iran University of Science and Technology	14664	22.55
Malek Ashtar University of Technology, Shabanlou, Tehran, Tehran Province	Iran University of Science and Technology	8044	12.533333333333333
Iran University of Science and Technology	Tarbiat Modares University, Tehran, Tehran Province	14102	22.5
Shahed University, Tehran, Tehran Province	Iran University of Science and Technology	12728	25.666666666666668
Kharazmi University, Tehran, Tehran Province	Iran University of Science and Technology	10463	18.516666666666666
Alzahra University	Iran University of Science and Technology	15941	25.8
Imam Ali University, Emam Khomeyni Street, Tehran, Tehran Province	Iran University of Science and Technology	14394	29.9
Institute for management and planning studies, Shafei, Tehran, Tehran Province	Iran University of Science and Technology	13145	25.05
Institute for Studies in Theoretical Physics and Mathematics	Iran University of Science and Technology	12143	22.083333333333332
Iran Polymer and Petrochemical Institute	Iran University of Science and Technology	36249	40.016666666666666
Police University Amin	Iran University of Science and Technology	28207	34.333333333333336
shahid rajaee teacher training university	Iran University of Science and Technology	6756	12.116666666666667
K. N. Toosi University of Technology, Mirdamad Boulevard, Tehran, Tehran Province	Allameh Tabataba’i University, Tehran, Tehran Province	18348	23.433333333333334
K. N. Toosi University of Technology, Mirdamad Boulevard, Tehran, Tehran Province	imam hossein university	23840	27.233333333333334
Imam Sadiq University, Tehran, Tehran Province	K. N. Toosi University of Technology, Mirdamad Boulevard, Tehran, Tehran Province	10956	18.933333333333334
K. N. Toosi University of Technology, Mirdamad Boulevard, Tehran, Tehran Province	Iran University of Medical Sciences	9232	13.8
K. N. Toosi University of Technology, Mirdamad Boulevard, Tehran, Tehran Province	Malek Ashtar University of Technology, Shabanlou, Tehran, Tehran Province	11804	15.466666666666667
K. N. Toosi University of Technology, Mirdamad Boulevard, Tehran, Tehran Province	Tarbiat Modares University, Tehran, Tehran Province	7582	14.3
Shahed University, Tehran, Tehran Province	K. N. Toosi University of Technology, Mirdamad Boulevard, Tehran, Tehran Province	10618	17.716666666666665
Kharazmi University, Tehran, Tehran Province	K. N. Toosi University of Technology, Mirdamad Boulevard, Tehran, Tehran Province	9153	14.983333333333333
K. N. Toosi University of Technology, Mirdamad Boulevard, Tehran, Tehran Province	Alzahra University	4429	13.516666666666667
K. N. Toosi University of Technology, Mirdamad Boulevard, Tehran, Tehran Province	Imam Ali University, Emam Khomeyni Street, Tehran, Tehran Province	13172	22.316666666666666
K. N. Toosi University of Technology, Mirdamad Boulevard, Tehran, Tehran Province	Institute for management and planning studies, Shafei, Tehran, Tehran Province	11940	24.383333333333333
Institute for Studies in Theoretical Physics and Mathematics	K. N. Toosi University of Technology, Mirdamad Boulevard, Tehran, Tehran Province	11106	21.95
K. N. Toosi University of Technology, Mirdamad Boulevard, Tehran, Tehran Province	Iran Polymer and Petrochemical Institute	29325	31.25
K. N. Toosi University of Technology, Mirdamad Boulevard, Tehran, Tehran Province	Police University Amin	20930	25.066666666666666
shahid rajaee teacher training university	K. N. Toosi University of Technology, Mirdamad Boulevard, Tehran, Tehran Province	12163	16.1
Allameh Tabataba’i University, Tehran, Tehran Province	imam hossein university	38259	45.85
Imam Sadiq University, Tehran, Tehran Province	Allameh Tabataba’i University, Tehran, Tehran Province	15091	23.15
Iran University of Medical Sciences	Allameh Tabataba’i University, Tehran, Tehran Province	12195	16.383333333333333
Allameh Tabataba’i University, Tehran, Tehran Province	Malek Ashtar University of Technology, Shabanlou, Tehran, Tehran Province	26460	34.03333333333333
Allameh Tabataba’i University, Tehran, Tehran Province	Tarbiat Modares University, Tehran, Tehran Province	18815	24.066666666666666
Shahed University, Tehran, Tehran Province	Allameh Tabataba’i University, Tehran, Tehran Province	20145	33.65
Kharazmi University, Tehran, Tehran Province	Allameh Tabataba’i University, Tehran, Tehran Province	21488	32.85
Alzahra University	Allameh Tabataba’i University, Tehran, Tehran Province	16119	24.016666666666666
Imam Ali University, Emam Khomeyni Street, Tehran, Tehran Province	Allameh Tabataba’i University, Tehran, Tehran Province	23045	35.1
Institute for management and planning studies, Shafei, Tehran, Tehran Province	Allameh Tabataba’i University, Tehran, Tehran Province	26662	44.61666666666667
Institute for Studies in Theoretical Physics and Mathematics	Allameh Tabataba’i University, Tehran, Tehran Province	25828	42.2
Iran Polymer and Petrochemical Institute	Allameh Tabataba’i University, Tehran, Tehran Province	12683	14.383333333333333
Allameh Tabataba’i University, Tehran, Tehran Province	Police University Amin	4288	8.2
shahid rajaee teacher training university	Allameh Tabataba’i University, Tehran, Tehran Province	25171	33.61666666666667
Imam Sadiq University, Tehran, Tehran Province	imam hossein university	28099	33.583333333333336
Iran University of Medical Sciences	imam hossein university	26375	28.45
Malek Ashtar University of Technology, Shabanlou, Tehran, Tehran Province	imam hossein university	12788	13.05
imam hossein university	Tarbiat Modares University, Tehran, Tehran Province	27317	30.15
Shahed University, Tehran, Tehran Province	imam hossein university	27473	32.55
Kharazmi University, Tehran, Tehran Province	imam hossein university	24269	27.35
Alzahra University	imam hossein university	21828	27.066666666666666
Imam Ali University, Emam Khomeyni Street, Tehran, Tehran Province	imam hossein university	28032	38.13333333333333
Institute for management and planning studies, Shafei, Tehran, Tehran Province	imam hossein university	17010	24.983333333333334
Institute for Studies in Theoretical Physics and Mathematics	imam hossein university	16008	22.033333333333335
Iran Polymer and Petrochemical Institute	imam hossein university	46469	45.9
Police University Amin	imam hossein university	38073	39.71666666666667
shahid rajaee teacher training university	imam hossein university	13146	13.683333333333334
